city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mexico City,19.4333,-99.1333,Mexico,MX,Ciudad de México,primary,20996000,8918653
Guadalajara,20.6767,-103.3475,Mexico,MX,Jalisco,admin,5253000,1460148
Monterrey,25.6667,-100.3000,Mexico,MX,Nuevo León,admin,4295000,1109171
Tijuana,32.5250,-117.0333,Mexico,MX,Baja California,minor,2384609,1902385
Ecatepec,19.6097,-99.0600,Mexico,MX,México,minor,1656107,1656107
Puebla,19.0333,-98.1833,Mexico,MX,Puebla,admin,1576259,1576259
León de los Aldama,21.1167,-101.6833,Mexico,MX,Guanajuato,minor,1454793,1238496
Juárez,31.7386,-106.4870,Mexico,MX,Chihuahua,minor,1321004,1321004
Zapopan,20.7167,-103.4000,Mexico,MX,Jalisco,minor,1155790,1155790
Nezahualcóyotl,19.4000,-98.9889,Mexico,MX,México,minor,1110565,1110565
Ciudad Nezahualcóyotl,19.4100,-99.0300,Mexico,MX,México,,1109363,750000
Mexicali,32.6633,-115.4678,Mexico,MX,Baja California,admin,1102342,1032686
Aguascalientes,21.8760,-102.2960,Mexico,MX,Aguascalientes,admin,934424,934424
Mérida,20.9700,-89.6200,Mexico,MX,Yucatán,admin,892363,892363
Chihuahua,28.6353,-106.0889,Mexico,MX,Chihuahua,admin,878062,878062
Naucalpan de Juárez,19.4753,-99.2378,Mexico,MX,México,minor,833779,833779
San Luis Potosí,22.1511,-100.9761,Mexico,MX,San Luis Potosí,admin,824229,772828
Toluca,19.2925,-99.6569,Mexico,MX,México,admin,819561,747512
Hermosillo,29.0989,-110.9542,Mexico,MX,Sonora,admin,812229,812229
Saltillo,25.4333,-101.0000,Mexico,MX,Coahuila de Zaragoza,admin,807537,807537
Querétaro,20.5875,-100.3928,Mexico,MX,Querétaro,admin,804663,626495
Culiacán,24.8069,-107.3939,Mexico,MX,Sinaloa,admin,785800,785800
Morelia,19.7683,-101.1894,Mexico,MX,Michoacán de Ocampo,,784776,784776
Tlalnepantla,19.5367,-99.1947,Mexico,MX,México,minor,750224,653410
Cancún,21.1606,-86.8475,Mexico,MX,Quintana Roo,minor,743626,743626
Tlajomulco de Zúñiga,20.4736,-103.4431,Mexico,MX,Jalisco,minor,727750,727750
Reynosa,26.0922,-98.2778,Mexico,MX,Tamaulipas,minor,725793,612183
Guadalupe,25.6775,-100.2597,Mexico,MX,Nuevo León,minor,691931,691931
Acapulco de Juárez,16.8636,-99.8825,Mexico,MX,Guerrero,minor,687608,673478
Torreón,25.5394,-103.4486,Mexico,MX,Coahuila de Zaragoza,minor,679288,679288
Durango,24.0167,-104.6667,Mexico,MX,Durango,admin,654876,654876
Villahermosa,17.9892,-92.9281,Mexico,MX,Tabasco,admin,640359,640359
Chimalhuacán,19.4167,-98.9000,Mexico,MX,México,minor,614453,614453
Tuxtla,16.7528,-93.1167,Mexico,MX,Chiapas,admin,598710,598710
Tlaquepaque,20.6167,-103.3167,Mexico,MX,Jalisco,minor,575942,575942
Veracruz,19.1903,-96.1533,Mexico,MX,Veracruz,minor,552156,428323
Xalapa,19.5400,-96.9275,Mexico,MX,Veracruz,admin,525147,424755
Ciudad Apodaca,25.7833,-100.1833,Mexico,MX,Nuevo León,minor,523370,523370
Ensenada,31.8578,-116.6058,Mexico,MX,Baja California,minor,522768,522768
Heroica Matamoros,25.8797,-97.5042,Mexico,MX,Tamaulipas,minor,520367,520367
Cuautitlán Izcalli,19.6500,-99.2500,Mexico,MX,México,minor,511675,511675
Mazatlán,23.2200,-106.4200,Mexico,MX,Sinaloa,minor,502547,502547
Mazatán,29.0167,-110.1333,Mexico,MX,Sonora,minor,500000,438434
Ixtapaluca,19.3186,-98.8822,Mexico,MX,México,minor,495563,495563
Ciudad López Mateos,19.5500,-99.2833,Mexico,MX,México,minor,489937,489937
Tultitlán de Mariano Escobedo,19.6450,-99.1694,Mexico,MX,México,minor,486998,486998
San Nicolás de los Garza,25.7500,-100.2833,Mexico,MX,Nuevo León,minor,476761,443273
Celaya,20.5222,-100.8122,Mexico,MX,Guanajuato,minor,468469,468469
Ciudad Obregón,27.4939,-109.9389,Mexico,MX,Sonora,minor,405000,386966
Irapuato,20.6667,-101.3500,Mexico,MX,Guanajuato,minor,380941,380941
Tonalá,20.6167,-103.2333,Mexico,MX,Jalisco,minor,374258,374258
Nuevo Laredo,27.4861,-99.5069,Mexico,MX,Tamaulipas,minor,373725,373725
Nicolás Romero,19.5833,-99.3667,Mexico,MX,México,minor,366602,366602
Cuernavaca,18.9186,-99.2342,Mexico,MX,Morelos,admin,366321,338650
Tecámac,19.7131,-98.9683,Mexico,MX,México,minor,364579,364579
Ciudad General Escobedo,25.7933,-100.1583,Mexico,MX,Nuevo León,minor,363436,299364
Minatitlán,17.9833,-94.5500,Mexico,MX,Veracruz,minor,356020,356020
Tepic,21.5083,-104.8931,Mexico,MX,Nayarit,admin,332863,332863
Gómez Palacio,25.5611,-103.4983,Mexico,MX,Durango,minor,327985,327985
Tapachula,14.9000,-92.2667,Mexico,MX,Chiapas,minor,320451,320451
Coatzacoalcos,18.1500,-94.4333,Mexico,MX,Veracruz,minor,319187,319187
Uruapan,19.4208,-102.0628,Mexico,MX,Michoacán de Ocampo,minor,315350,315350
Tampico,22.2553,-97.8686,Mexico,MX,Tamaulipas,minor,314418,314418
Chalco,19.2647,-98.8975,Mexico,MX,México,minor,310130,310130
Ciudad Victoria,23.7333,-99.1333,Mexico,MX,Tamaulipas,admin,305155,305155
Oaxaca,17.0833,-96.7500,Mexico,MX,Oaxaca,admin,300050,300050
